dataset,method,auroc_mean,auroc_std,time
SAML-D,IF,0.9324267698061741,0.00357049309349729,0.4059123992919922
SAML-D,IF_concat,0.8969665837867054,0.005618559236517852,0.42817072868347167
SAML-D,ROCOD,0.3264386113483553,0.0,3.7368229389190675
SAML-D,PNKIF,0.8664224085265845,0.008098422605965582,4.276947021484375
PaySim,IF,0.691152904467354,0.012000986416159553,0.5168269634246826
PaySim,IF_concat,0.7766676714776632,0.014982420286622125,0.5589972972869873
PaySim,ROCOD,0.36282258419243985,0.0,13.75276746749878
PaySim,PNKIF,0.45054263505154635,0.018448791896715458,14.33740167617798
CreditCard,IF,0.9488159834232259,0.0025688708365703855,0.4985346794128418
CreditCard,IF_concat,0.9482014732282735,0.0010679233827897143,0.44309568405151367
CreditCard,ROCOD,0.9103857978771274,1.1102230246251565e-16,8.076839923858643
CreditCard,PNKIF,0.932259424608062,0.0011681331736694309,4.73443078994751
