dataset,method,auroc_mean,auroc_std,auprc_mean,time_mean
SAML-D (original),IF,0.9447074248643852,0.002544039710235706,0.1751034154314881,0.4612465699513753
SAML-D (original),ROCOD,0.41569851329011903,5.551115123125783e-17,0.043153932312639594,2.5608577728271484
SAML-D (original),PNKIF,0.892620125619351,0.005828170245955392,0.10531153417316023,2.280203421910604
SAML-D (injected),IF,0.8713811312444989,0.0011495736344320606,0.15634603758175514,0.4277316729227702
SAML-D (injected),ROCOD,0.4777533770176469,5.551115123125783e-17,0.0632977421788676,1.8922149340311687
SAML-D (injected),PNKIF,0.8903814287780666,0.010135134827635145,0.12996016996434737,2.277501344680786
PaySim (original),IF,0.6784516996491229,0.009985575173523187,0.10926687982199974,0.5113601684570312
PaySim (original),ROCOD,0.3338931284210526,0.0,0.03461955499135222,13.58738342920939
PaySim (original),PNKIF,0.42924038035087714,0.02008676882352416,0.04579415845481777,14.000367482503256
PaySim (injected),IF,0.6515592581521739,0.007536736921975346,0.1472954786355241,0.5179123083750407
PaySim (injected),ROCOD,0.449125445652174,5.551115123125783e-17,0.08920380438449686,13.579949299494425
PaySim (injected),PNKIF,0.6268679030797101,0.007672254980261042,0.16528352388746403,14.20794669787089
