injection,rate,method,auroc_mean,auroc_std
none,0.0,IF,0.6911126250477281,0.005229305547019494
none,0.0,IF_concat,0.7756344024436809,0.013261350057334352
none,0.0,ROCOD,0.3750270141275296,0.0
none,0.0,PNKIF,0.4546975009545629,0.01228119534628235
none,0.0,PNKDIF,0.3525475124093165,0.022447896875509007
context_mismatch,0.01,IF_concat,0.7679344357638889,0.007692060695663324
context_mismatch,0.01,IF,0.6497885026041667,0.0040284975840691635
context_mismatch,0.01,PNKIF,0.5358732870370371,0.011877398437991965
context_mismatch,0.01,PNKDIF,0.46886216001157405,0.02008157245492571
context_mismatch,0.01,ROCOD,0.4609206163194444,0.0
context_mismatch,0.03,IF_concat,0.7662526093380614,0.010094090393230816
context_mismatch,0.03,PNKIF,0.6327173680063043,0.012232404958504948
context_mismatch,0.03,IF,0.6153234485815603,0.002904503792652627
context_mismatch,0.03,PNKDIF,0.5858332584712371,0.016122387358368254
context_mismatch,0.03,ROCOD,0.540785707249803,0.0
context_mismatch,0.05,IF_concat,0.759321442481884,0.007338967488109147
context_mismatch,0.05,PNKIF,0.6634775988828502,0.00861618365774804
context_mismatch,0.05,PNKDIF,0.6160756446256039,0.022360161364718096
context_mismatch,0.05,IF,0.5907490187198069,0.002282824470413345
context_mismatch,0.05,ROCOD,0.5840945274758454,0.0
context_mismatch,0.1,IF_concat,0.7383787184399254,0.004972990720383411
context_mismatch,0.1,PNKIF,0.6903122683957166,0.005713917577898971
context_mismatch,0.1,PNKDIF,0.6774954465075155,0.026681888330789213
context_mismatch,0.1,ROCOD,0.6299017683465957,1.1102230246251565e-16
context_mismatch,0.1,IF,0.5629615640043226,0.0014519717253737656
geographic_swap,0.01,IF_concat,0.7454398871527778,0.013454716556981813
geographic_swap,0.01,IF,0.6099406177662037,0.003873851943669171
geographic_swap,0.01,PNKIF,0.5486300434027778,0.019999497602184682
geographic_swap,0.01,PNKDIF,0.4999163657407408,0.029527455735587786
geographic_swap,0.01,ROCOD,0.45252320601851864,5.551115123125783e-17
geographic_swap,0.03,IF_concat,0.7111291725768323,0.014352521073568776
geographic_swap,0.03,PNKIF,0.5894789440504333,0.018210138107713797
geographic_swap,0.03,PNKDIF,0.583355780141844,0.01968038501316277
geographic_swap,0.03,ROCOD,0.5462903467297086,1.1102230246251565e-16
geographic_swap,0.03,IF,0.5280300738770685,0.003068971067567203
geographic_swap,0.05,IF_concat,0.6676075294384058,0.01588285251287138
geographic_swap,0.05,PNKDIF,0.6169299365942028,0.01971972792355551
geographic_swap,0.05,PNKIF,0.5984644761473429,0.01682398031535544
geographic_swap,0.05,ROCOD,0.5858145455917876,0.0
geographic_swap,0.05,IF,0.47917385114734296,0.0025976900647169134
geographic_swap,0.1,PNKDIF,0.6276904013164358,0.014278976554278977
geographic_swap,0.1,ROCOD,0.6149780086452499,1.1102230246251565e-16
geographic_swap,0.1,PNKIF,0.5994637886825818,0.013307913081579277
geographic_swap,0.1,IF_concat,0.5866500781019747,0.014664158561176225
geographic_swap,0.1,IF,0.42159328323017986,0.0018970294416143201
