dataset,method,seed,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_linear,IF,42,0.672720,0.392235,1.000000,0.233,2026-01-31T02:29:10.204801
syn_linear,IF_concat,42,0.990116,0.841581,0.970000,0.195,2026-01-31T02:29:10.402123
syn_linear,DIF,42,0.670542,0.394063,1.000000,1.369,2026-01-31T02:29:11.772151
syn_linear,DIF_concat,42,0.992490,0.880596,1.000000,1.371,2026-01-31T02:29:13.144799
syn_linear,LOF,42,0.589408,0.152595,0.410000,0.050,2026-01-31T02:29:13.196893
syn_linear,QCAD,42,0.990052,0.790974,0.950000,0.179,2026-01-31T02:29:13.377197
syn_linear,ROCOD,42,0.999901,0.998356,1.000000,0.118,2026-01-31T02:29:13.497082
syn_linear,PNKDIF,42,0.999729,0.995768,1.000000,1.468,2026-01-31T02:29:14.966526
syn_linear,PNKDIF_uniform,42,0.999733,0.995891,1.000000,1.406,2026-01-31T02:29:16.374795
syn_linear,PNKDIF_noMLP,42,0.999725,0.995733,1.000000,0.325,2026-01-31T02:29:16.702302
syn_linear,IF,123,0.688389,0.419952,1.000000,0.205,2026-01-31T02:29:16.909819
syn_linear,IF_concat,123,0.991267,0.862456,1.000000,0.197,2026-01-31T02:29:17.108202
syn_linear,DIF,123,0.669807,0.418662,1.000000,1.467,2026-01-31T02:29:18.577351
syn_linear,DIF_concat,123,0.993490,0.890822,1.000000,1.372,2026-01-31T02:29:19.951470
syn_linear,LOF,123,0.559196,0.127721,0.390000,0.049,2026-01-31T02:29:20.002234
syn_linear,QCAD,123,0.991787,0.818771,0.940000,0.183,2026-01-31T02:29:20.186723
syn_linear,ROCOD,123,0.999984,0.999699,1.000000,0.137,2026-01-31T02:29:20.325490
syn_linear,PNKDIF,123,0.999904,0.998188,1.000000,1.285,2026-01-31T02:29:21.612495
syn_linear,PNKDIF_uniform,123,0.999903,0.998160,1.000000,1.251,2026-01-31T02:29:22.864480
syn_linear,PNKDIF_noMLP,123,0.999857,0.997008,1.000000,0.300,2026-01-31T02:29:23.166239
syn_linear,IF,456,0.658004,0.398977,1.000000,0.235,2026-01-31T02:29:23.403819
syn_linear,IF_concat,456,0.984422,0.757687,0.920000,0.228,2026-01-31T02:29:23.633595
syn_linear,DIF,456,0.654361,0.399620,1.000000,1.193,2026-01-31T02:29:24.828083
syn_linear,DIF_concat,456,0.990143,0.846318,1.000000,1.140,2026-01-31T02:29:25.969923
syn_linear,LOF,456,0.578909,0.170765,0.560000,0.044,2026-01-31T02:29:26.015633
syn_linear,QCAD,456,0.988736,0.778411,0.930000,0.171,2026-01-31T02:29:26.188170
syn_linear,ROCOD,456,0.999678,0.997750,1.000000,0.115,2026-01-31T02:29:26.304802
syn_linear,PNKDIF,456,0.999588,0.994921,1.000000,1.312,2026-01-31T02:29:27.617789
syn_linear,PNKDIF_uniform,456,0.999583,0.994835,1.000000,1.204,2026-01-31T02:29:28.823628
syn_linear,PNKDIF_noMLP,456,0.999553,0.994472,1.000000,0.285,2026-01-31T02:29:29.110301
syn_linear,IF,789,0.639786,0.391617,1.000000,0.183,2026-01-31T02:29:29.295898
syn_linear,IF_concat,789,0.976307,0.734577,0.970000,0.192,2026-01-31T02:29:29.489718
syn_linear,DIF,789,0.647327,0.392011,1.000000,1.243,2026-01-31T02:29:30.735251
syn_linear,DIF_concat,789,0.990503,0.864106,1.000000,1.167,2026-01-31T02:29:31.904102
syn_linear,LOF,789,0.611186,0.166951,0.530000,0.046,2026-01-31T02:29:31.951974
syn_linear,QCAD,789,0.991308,0.812546,0.960000,0.177,2026-01-31T02:29:32.130937
syn_linear,ROCOD,789,0.999877,0.998426,1.000000,0.112,2026-01-31T02:29:32.244232
syn_linear,PNKDIF,789,0.999723,0.995740,1.000000,1.248,2026-01-31T02:29:33.494122
syn_linear,PNKDIF_uniform,789,0.999722,0.995817,1.000000,1.235,2026-01-31T02:29:34.730816
syn_linear,PNKDIF_noMLP,789,0.999644,0.993884,1.000000,0.302,2026-01-31T02:29:35.034743
syn_linear,IF,1011,0.650165,0.397757,1.000000,0.195,2026-01-31T02:29:35.232362
syn_linear,IF_concat,1011,0.987836,0.814898,1.000000,0.190,2026-01-31T02:29:35.424269
syn_linear,DIF,1011,0.648468,0.397494,1.000000,1.254,2026-01-31T02:29:36.680250
syn_linear,DIF_concat,1011,0.991801,0.867402,1.000000,1.167,2026-01-31T02:29:37.848618
syn_linear,LOF,1011,0.589741,0.178028,0.530000,0.046,2026-01-31T02:29:37.896571
syn_linear,QCAD,1011,0.990338,0.798632,0.930000,0.174,2026-01-31T02:29:38.072004
syn_linear,ROCOD,1011,0.999959,0.999256,1.000000,0.115,2026-01-31T02:29:38.188594
syn_linear,PNKDIF,1011,0.999778,0.995952,1.000000,1.244,2026-01-31T02:29:39.433828
syn_linear,PNKDIF_uniform,1011,0.999854,0.997420,1.000000,1.275,2026-01-31T02:29:40.710758
syn_linear,PNKDIF_noMLP,1011,0.999881,0.997877,1.000000,0.299,2026-01-31T02:29:41.011835
syn_linear,IF,1213,0.666107,0.424074,1.000000,0.195,2026-01-31T02:29:41.209857
syn_linear,IF_concat,1213,0.985598,0.796804,0.980000,0.184,2026-01-31T02:29:41.395594
syn_linear,DIF,1213,0.664862,0.424802,1.000000,1.231,2026-01-31T02:29:42.627807
syn_linear,DIF_concat,1213,0.991995,0.878324,1.000000,1.206,2026-01-31T02:29:43.835647
syn_linear,LOF,1213,0.558632,0.125917,0.350000,0.046,2026-01-31T02:29:43.884006
syn_linear,QCAD,1213,0.990349,0.798824,0.950000,0.174,2026-01-31T02:29:44.060090
syn_linear,ROCOD,1213,0.999884,0.998513,1.000000,0.117,2026-01-31T02:29:44.178924
syn_linear,PNKDIF,1213,0.999701,0.996476,1.000000,1.294,2026-01-31T02:29:45.475389
syn_linear,PNKDIF_uniform,1213,0.999710,0.996592,1.000000,1.193,2026-01-31T02:29:46.670613
syn_linear,PNKDIF_noMLP,1213,0.999711,0.996621,1.000000,0.277,2026-01-31T02:29:46.949109
syn_linear,IF,1415,0.659120,0.428056,1.000000,0.182,2026-01-31T02:29:47.133782
syn_linear,IF_concat,1415,0.983643,0.784578,1.000000,0.182,2026-01-31T02:29:47.317666
syn_linear,DIF,1415,0.653540,0.427866,1.000000,1.179,2026-01-31T02:29:48.498270
syn_linear,DIF_concat,1415,0.996450,0.936253,1.000000,1.112,2026-01-31T02:29:49.612673
syn_linear,LOF,1415,0.565605,0.121498,0.350000,0.043,2026-01-31T02:29:49.657327
syn_linear,QCAD,1415,0.990603,0.802076,0.920000,0.165,2026-01-31T02:29:49.823693
syn_linear,ROCOD,1415,0.999984,0.999707,1.000000,0.107,2026-01-31T02:29:49.932103
syn_linear,PNKDIF,1415,0.999916,0.998411,1.000000,1.223,2026-01-31T02:29:51.156953
syn_linear,PNKDIF_uniform,1415,0.999817,0.996288,1.000000,1.160,2026-01-31T02:29:52.318827
syn_linear,PNKDIF_noMLP,1415,0.999903,0.998115,1.000000,0.266,2026-01-31T02:29:52.586578
syn_linear,IF,1617,0.644436,0.370630,0.990000,0.177,2026-01-31T02:29:52.766569
syn_linear,IF_concat,1617,0.983855,0.781568,0.940000,0.175,2026-01-31T02:29:52.943590
syn_linear,DIF,1617,0.654743,0.373218,1.000000,1.145,2026-01-31T02:29:54.090406
syn_linear,DIF_concat,1617,0.992135,0.877010,1.000000,1.090,2026-01-31T02:29:55.182242
