dataset,method,n_runs,auroc_mean,auroc_std,auroc,auprc_mean,auprc_std,auprc,p_at_k_mean,p_at_k_std,p_at_k,runtime_mean,runtime_std,runtime
syn_linear,IF,10,0.6595122,0.018025012398208112,0.6595±0.0180,0.4005689,0.020295072464079102,0.4006±0.0203,0.999,0.003162277660168382,0.9990±0.0032,0.1972,0.02118070400676574,0.20±0.02
syn_linear,IF_concat,10,0.9843301,0.004831852657107826,0.9843±0.0048,0.7898234,0.04121055927307951,0.7898±0.0412,0.9770000000000001,0.027908580918579305,0.9770±0.0279,0.19060000000000002,0.014908610487455455,0.19±0.01
syn_linear,DIF,10,0.6578507,0.013349713771796336,0.6579±0.0133,0.40121910000000005,0.019846388708444334,0.4012±0.0198,1.0,0.0,1.0000±0.0000,1.2409,0.1028239595943799,1.24±0.10
syn_linear,DIF_concat,10,0.9923737000000001,0.001781782568727776,0.9924±0.0018,0.8788796000000001,0.023555634146514595,0.8789±0.0236,1.0,0.0,1.0000±0.0000,1.1849,0.10439396534283005,1.18±0.10
syn_linear,LOF,10,0.5783723,0.019112374054813558,0.5784±0.0191,0.147275,0.02014792078602653,0.1473±0.0201,0.437,0.07818070236460034,0.4370±0.0782,0.045399999999999996,0.0025033311140691475,0.05±0.00
syn_linear,QCAD,10,0.9902244999999998,0.0009171858226844381,0.9902±0.0009,0.7958623,0.012921616823928993,0.7959±0.0129,0.931,0.019119507199599952,0.9310±0.0191,0.17279999999999998,0.0056920997883030755,0.17±0.01
syn_linear,ROCOD,10,0.9999154000000001,9.351672458860428e-05,0.9999±0.0001,0.9989714000000001,0.0007011104208484021,0.9990±0.0007,1.0,0.0,1.0000±0.0000,0.11500000000000002,0.00871779788708135,0.12±0.01
syn_linear,PNKDIF,10,0.9997489000000002,0.00010378444541987826,0.9997±0.0001,0.9959849000000001,0.001525437165026616,0.9960±0.0015,1.0,0.0,1.0000±0.0000,1.2701,0.08175090893140642,1.27±0.08
syn_linear,PNKDIF_uniform,10,0.9997609000000001,9.364762558537032e-05,0.9998±0.0001,0.9962258,0.0011082691008956385,0.9962±0.0011,1.0,0.0,1.0000±0.0000,1.2227000000000001,0.0766406477588028,1.22±0.08
syn_linear,PNKDIF_noMLP,10,0.9997388,0.00011071765893478719,0.9997±0.0001,0.9957545,0.0015556500070531387,0.9958±0.0016,1.0,0.0,1.0000±0.0000,0.2875,0.018584641209581868,0.29±0.02
