experiment,dataset,method,param_name,param_value,seed,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_nonlinear_baseline,syn_nonlinear,IF,default,default,42,0.811867,0.551910,1.000000,0.173,2026-01-31T02:42:21.318003
syn_nonlinear_baseline,syn_nonlinear,IF_concat,default,default,42,0.916489,0.551316,0.870000,0.168,2026-01-31T02:42:21.493238
syn_nonlinear_baseline,syn_nonlinear,DIF,default,default,42,0.804516,0.542278,1.000000,1.076,2026-01-31T02:42:22.576506
syn_nonlinear_baseline,syn_nonlinear,DIF_concat,default,default,42,0.901672,0.433583,0.650000,1.077,2026-01-31T02:42:23.660241
syn_nonlinear_baseline,syn_nonlinear,LOF,default,default,42,0.999968,0.999505,1.000000,0.082,2026-01-31T02:42:23.748324
syn_nonlinear_baseline,syn_nonlinear,QCAD,default,default,42,0.959604,0.825558,1.000000,0.292,2026-01-31T02:42:24.046092
syn_nonlinear_baseline,syn_nonlinear,ROCOD,default,default,42,0.999970,0.999440,1.000000,0.205,2026-01-31T02:42:24.257079
syn_nonlinear_baseline,syn_nonlinear,PNKDIF,default,default,42,0.999997,0.999948,1.000000,1.361,2026-01-31T02:42:25.625927
syn_nonlinear_baseline,syn_nonlinear,PNKDIF_uniform,default,default,42,0.999997,0.999941,1.000000,1.256,2026-01-31T02:42:26.889186
syn_nonlinear_baseline,syn_nonlinear,PNKDIF_noMLP,default,default,42,0.999995,0.999905,1.000000,0.385,2026-01-31T02:42:27.281753
syn_nonlinear_baseline,syn_nonlinear,IF,default,default,123,0.808973,0.554579,0.990000,0.177,2026-01-31T02:42:27.466908
syn_nonlinear_baseline,syn_nonlinear,IF_concat,default,default,123,0.929155,0.524970,0.790000,0.182,2026-01-31T02:42:27.656133
syn_nonlinear_baseline,syn_nonlinear,DIF,default,default,123,0.802502,0.541541,1.000000,1.121,2026-01-31T02:42:28.783425
syn_nonlinear_baseline,syn_nonlinear,DIF_concat,default,default,123,0.896515,0.447771,0.680000,1.092,2026-01-31T02:42:29.882143
syn_nonlinear_baseline,syn_nonlinear,LOF,default,default,123,0.999543,0.995437,1.000000,0.087,2026-01-31T02:42:29.975436
syn_nonlinear_baseline,syn_nonlinear,QCAD,default,default,123,0.963975,0.835280,1.000000,0.286,2026-01-31T02:42:30.267076
syn_nonlinear_baseline,syn_nonlinear,ROCOD,default,default,123,0.999926,0.998720,1.000000,0.215,2026-01-31T02:42:30.493709
syn_nonlinear_baseline,syn_nonlinear,PNKDIF,default,default,123,1.000000,0.999996,1.000000,1.779,2026-01-31T02:42:32.281303
syn_nonlinear_baseline,syn_nonlinear,PNKDIF_uniform,default,default,123,1.000000,1.000000,1.000000,1.691,2026-01-31T02:42:33.981307
syn_nonlinear_baseline,syn_nonlinear,PNKDIF_noMLP,default,default,123,0.999991,0.999835,1.000000,0.509,2026-01-31T02:42:34.497976
syn_nonlinear_baseline,syn_nonlinear,IF,default,default,456,0.818865,0.566123,1.000000,0.223,2026-01-31T02:42:34.730605
syn_nonlinear_baseline,syn_nonlinear,IF_concat,default,default,456,0.908499,0.478147,0.820000,0.255,2026-01-31T02:42:34.994823
syn_nonlinear_baseline,syn_nonlinear,DIF,default,default,456,0.811233,0.536553,1.000000,1.577,2026-01-31T02:42:36.581511
syn_nonlinear_baseline,syn_nonlinear,DIF_concat,default,default,456,0.894792,0.478107,0.790000,1.577,2026-01-31T02:42:38.167768
syn_nonlinear_baseline,syn_nonlinear,LOF,default,default,456,0.999978,0.999599,1.000000,0.110,2026-01-31T02:42:38.286495
syn_nonlinear_baseline,syn_nonlinear,QCAD,default,default,456,0.968376,0.845272,1.000000,0.476,2026-01-31T02:42:38.770714
