experiment,dataset,method,param_name,param_value,n_runs,auroc_mean,auroc_std,auprc_mean,auprc_std,runtime_mean
syn_nonlinear_baseline,syn_nonlinear,IF,default,default,5,0.8199095999999999,0.014692527277497211,0.5712148,0.03201775951249554,0.2112
syn_nonlinear_baseline,syn_nonlinear,IF_concat,default,default,5,0.9182689999999999,0.010419327425510745,0.526395,0.06590713106333791,0.21020000000000003
syn_nonlinear_baseline,syn_nonlinear,DIF,default,default,5,0.8144883999999999,0.015236502528467597,0.5565100000000001,0.03293106036859426,1.3608
syn_nonlinear_baseline,syn_nonlinear,DIF_concat,default,default,5,0.9025914,0.009212687490629442,0.46884180000000003,0.037797737587056714,1.349
syn_nonlinear_baseline,syn_nonlinear,LOF,default,default,5,0.9993972,0.000951462926235184,0.9965796000000001,0.0038966700912445597,0.0988
syn_nonlinear_baseline,syn_nonlinear,QCAD,default,default,5,0.9617228000000001,0.004386092874073696,0.8298076,0.010540508279964491,0.36039999999999994
syn_nonlinear_baseline,syn_nonlinear,ROCOD,default,default,5,0.9999467999999998,2.2993477335991204e-05,0.9990665999999999,0.00036758441207425705,0.24900000000000003
syn_nonlinear_baseline,syn_nonlinear,PNKDIF,default,default,5,0.9999990000000001,1.2247448713814828e-06,0.9999800000000001,1.8973665961029252e-05,1.7006000000000001
syn_nonlinear_baseline,syn_nonlinear,PNKDIF_uniform,default,default,5,0.9999990000000001,1.414213562354883e-06,0.9999786,2.6717035763738947e-05,1.6198000000000001
syn_nonlinear_baseline,syn_nonlinear,PNKDIF_noMLP,default,default,5,0.9999878000000001,1.7512852423293062e-05,0.9997802,0.00031185685818977527,0.45780000000000004
K_sensitivity,syn_linear,PNKDIF,K,10,5,0.9848741999999999,0.0017264323618375525,0.8655959999999998,0.014071051346647873,1.3946
K_sensitivity,syn_linear,PNKDIF,K,25,5,0.9963724,0.00056602102434451,0.9498668,0.005567457696291907,1.3388000000000002
K_sensitivity,syn_linear,PNKDIF,K,50,5,0.9991749999999999,0.00015311270358792466,0.9865024,0.0015023495931373737,1.3968
K_sensitivity,syn_linear,PNKDIF,K,100,5,0.9997444,0.00011375104395124301,0.9961138,0.0012258222546519312,1.4646
K_sensitivity,syn_linear,PNKDIF,K,200,5,0.9999072,6.607344398469312e-05,0.9985858000000001,0.0007957328069144924,1.5914
K_sensitivity,syn_linear,PNKDIF,K,500,5,0.9999369999999999,6.21087755474375e-05,0.9991512,0.0006288697798431757,2.119
K_sensitivity,syn_nonlinear,PNKDIF,K,10,5,0.9904523999999999,0.002845721753791133,0.9030142,0.02043463474594053,1.3664
K_sensitivity,syn_nonlinear,PNKDIF,K,25,5,0.9993368,0.00019733651461402768,0.9901023999999999,0.0024321240305543662,1.3692
K_sensitivity,syn_nonlinear,PNKDIF,K,50,5,0.9999585999999999,3.929758262285293e-05,0.9992658000000001,0.0006806729758114272,1.4582000000000002
K_sensitivity,syn_nonlinear,PNKDIF,K,100,5,0.9999990000000001,1.2247448713814828e-06,0.9999800000000001,1.8973665961029252e-05,1.5697999999999999
K_sensitivity,syn_nonlinear,PNKDIF,K,200,5,0.9999984,3.5777087640032413e-06,0.99997,6.0464865831310005e-05,1.8356000000000001
K_sensitivity,syn_nonlinear,PNKDIF,K,500,5,0.9999330000000001,5.8702640485747305e-05,0.9991427999999999,0.0005305880699752122,2.6358000000000006
M_sensitivity,syn_linear,PNKDIF,M,1,5,0.9995752,0.00011553657429573925,0.9926984000000001,0.002820335316943695,0.3822
M_sensitivity,syn_linear,PNKDIF,M,2,5,0.9997486,0.00011628972439556564,0.9961114,0.0012789348302395913,0.6086
M_sensitivity,syn_linear,PNKDIF,M,4,5,0.9997304,0.0001210487505098534,0.9958762,0.0013300481946155111,1.0008000000000001
M_sensitivity,syn_linear,PNKDIF,M,6,5,0.9997444,0.00011375104395124301,0.9961138,0.0012258222546519312,1.4922
M_sensitivity,syn_linear,PNKDIF,M,8,5,0.9997513999999998,0.00011594308948791652,0.9962294,0.00117339925004238,1.9548
M_sensitivity,syn_linear,PNKDIF,M,10,5,0.9997562,0.00013594189935408295,0.9963571999999999,0.0014700951329761028,2.3546
M_sensitivity,syn_nonlinear,PNKDIF,M,1,5,0.999985,2.1540659228513172e-05,0.9997245999999999,0.000396991561623166,0.4708
M_sensitivity,syn_nonlinear,PNKDIF,M,2,5,0.999996,3.162277660171542e-06,0.999928,5.4886246000247864e-05,0.6856
M_sensitivity,syn_nonlinear,PNKDIF,M,4,5,0.9999978,2.683281572977606e-06,0.9999597999999998,4.7939545262768886e-05,1.1957999999999998
M_sensitivity,syn_nonlinear,PNKDIF,M,6,5,0.9999990000000001,1.2247448713814828e-06,0.9999800000000001,1.8973665961029252e-05,1.6727999999999998
M_sensitivity,syn_nonlinear,PNKDIF,M,8,5,0.9999991999999999,8.366600265183252e-07,0.9999855999999999,1.2198360545593724e-05,2.0802
M_sensitivity,syn_nonlinear,PNKDIF,M,10,5,0.9999990000000001,1.414213562354883e-06,0.9999824,2.3426480742977544e-05,2.4836
dh_sensitivity,syn_linear,PNKDIF,d_h,16,5,0.9995858,0.00010725530289917207,0.9929792000000001,0.0023971242562704177,1.4464000000000001
dh_sensitivity,syn_linear,PNKDIF,d_h,32,5,0.9997102,0.00013595477189123935,0.995684,0.0014890847860346945,1.543
dh_sensitivity,syn_linear,PNKDIF,d_h,64,5,0.9997114,0.00012052717535893494,0.9954968000000001,0.0014943271730112964,1.5506
dh_sensitivity,syn_linear,PNKDIF,d_h,128,5,0.9997444,0.00011375104395124301,0.9961138,0.0012258222546519312,1.6960000000000002
dh_sensitivity,syn_linear,PNKDIF,d_h,256,5,0.9997614,0.00012974898843534164,0.9965428,0.0012917305059492836,2.1076
dh_sensitivity,syn_nonlinear,PNKDIF,d_h,16,5,0.9999884,7.70064932325854e-06,0.9997847999999999,0.00013963058404230352,1.6804000000000001
dh_sensitivity,syn_nonlinear,PNKDIF,d_h,32,5,0.9999958,4.207136793569685e-06,0.9999180000000001,7.696752561955504e-05,1.7285999999999997
dh_sensitivity,syn_nonlinear,PNKDIF,d_h,64,5,0.9999974,8.944271910256358e-07,0.9999502,1.6452963258943917e-05,1.7124
dh_sensitivity,syn_nonlinear,PNKDIF,d_h,128,5,0.9999990000000001,1.2247448713814828e-06,0.9999800000000001,1.8973665961029252e-05,1.8552
dh_sensitivity,syn_nonlinear,PNKDIF,d_h,256,5,0.9999988,1.303840481022675e-06,0.9999764000000001,2.6763781496654622e-05,2.1888
