method,n_samples,seed,runtime_sec,auroc,timestamp
IF,1000,42,0.1242,0.5773,2026-01-31T02:48:26.303797
DIF,1000,42,0.7110,0.5778,2026-01-31T02:48:27.018527
PNKDIF,1000,42,0.7164,0.9996,2026-01-31T02:48:27.738691
QCAD,1000,42,0.0172,0.9957,2026-01-31T02:48:27.759264
ROCOD,1000,42,0.0108,1.0000,2026-01-31T02:48:27.773357
IF,1000,123,0.1190,0.6286,2026-01-31T02:48:27.896405
DIF,1000,123,0.7181,0.6470,2026-01-31T02:48:28.617765
PNKDIF,1000,123,0.7109,0.9997,2026-01-31T02:48:29.332096
QCAD,1000,123,0.0167,0.9946,2026-01-31T02:48:29.351973
ROCOD,1000,123,0.0106,0.9999,2026-01-31T02:48:29.365755
IF,1000,456,0.1129,0.6595,2026-01-31T02:48:29.484496
DIF,1000,456,0.7070,0.6563,2026-01-31T02:48:30.194810
PNKDIF,1000,456,0.8021,0.9995,2026-01-31T02:48:31.000142
QCAD,1000,456,0.0249,0.9963,2026-01-31T02:48:31.029289
ROCOD,1000,456,0.0129,1.0000,2026-01-31T02:48:31.046980
IF,2000,42,0.2019,0.6697,2026-01-31T02:48:31.254490
DIF,2000,42,1.0628,0.6664,2026-01-31T02:48:32.321950
PNKDIF,2000,42,1.0389,0.9990,2026-01-31T02:48:33.365228
QCAD,2000,42,0.0419,0.9907,2026-01-31T02:48:33.410791
ROCOD,2000,42,0.0212,0.9997,2026-01-31T02:48:33.436024
IF,2000,123,0.1385,0.6695,2026-01-31T02:48:33.578728
DIF,2000,123,1.1162,0.6805,2026-01-31T02:48:34.698679
PNKDIF,2000,123,1.1138,0.9995,2026-01-31T02:48:35.817794
QCAD,2000,123,0.0570,0.9891,2026-01-31T02:48:35.879358
ROCOD,2000,123,0.0249,1.0000,2026-01-31T02:48:35.908854
IF,2000,456,0.2021,0.7017,2026-01-31T02:48:36.116140
DIF,2000,456,1.1653,0.6803,2026-01-31T02:48:37.286419
PNKDIF,2000,456,1.2131,1.0000,2026-01-31T02:48:38.503804
QCAD,2000,456,0.0473,0.9915,2026-01-31T02:48:38.555346
ROCOD,2000,456,0.0220,1.0000,2026-01-31T02:48:38.581327
IF,5000,42,0.2093,0.5944,2026-01-31T02:48:38.796300
DIF,5000,42,1.1651,0.6049,2026-01-31T02:48:39.966524
PNKDIF,5000,42,1.3042,0.9994,2026-01-31T02:48:41.275970
QCAD,5000,42,0.1512,0.9888,2026-01-31T02:48:41.432664
ROCOD,5000,42,0.0817,0.9999,2026-01-31T02:48:41.519647
IF,5000,123,0.2011,0.7243,2026-01-31T02:48:41.726154
DIF,5000,123,0.9353,0.6814,2026-01-31T02:48:42.665517
PNKDIF,5000,123,0.9877,0.9991,2026-01-31T02:48:43.658807
QCAD,5000,123,0.1110,0.9889,2026-01-31T02:48:43.774373
ROCOD,5000,123,0.0781,0.9999,2026-01-31T02:48:43.857401
IF,5000,456,0.1515,0.7071,2026-01-31T02:48:44.013178
DIF,5000,456,0.8771,0.6891,2026-01-31T02:48:44.894117
PNKDIF,5000,456,0.9503,1.0000,2026-01-31T02:48:45.849290
QCAD,5000,456,0.1045,0.9909,2026-01-31T02:48:45.957755
ROCOD,5000,456,0.0796,1.0000,2026-01-31T02:48:46.041021
IF,10000,42,0.1734,0.6727,2026-01-31T02:48:46.220397
DIF,10000,42,1.1854,0.6705,2026-01-31T02:48:47.410754
PNKDIF,10000,42,1.2723,0.9997,2026-01-31T02:48:48.689734
QCAD,10000,42,0.1661,0.9901,2026-01-31T02:48:48.860820
ROCOD,10000,42,0.1037,0.9999,2026-01-31T02:48:48.970197
IF,10000,123,0.2056,0.6884,2026-01-31T02:48:49.182760
DIF,10000,123,1.1542,0.6698,2026-01-31T02:48:50.341766
PNKDIF,10000,123,1.2504,0.9999,2026-01-31T02:48:51.599013
QCAD,10000,123,0.1679,0.9918,2026-01-31T02:48:51.771053
ROCOD,10000,123,0.1035,1.0000,2026-01-31T02:48:51.880552
IF,10000,456,0.2225,0.6580,2026-01-31T02:48:52.110189
DIF,10000,456,1.1672,0.6544,2026-01-31T02:48:53.282249
PNKDIF,10000,456,1.2021,0.9996,2026-01-31T02:48:54.489364
QCAD,10000,456,0.1640,0.9887,2026-01-31T02:48:54.657841
ROCOD,10000,456,0.1059,0.9997,2026-01-31T02:48:54.769993
IF,20000,42,0.3019,0.6461,2026-01-31T02:48:55.082201
DIF,20000,42,1.7021,0.6187,2026-01-31T02:48:56.790685
PNKDIF,20000,42,1.8158,0.9997,2026-01-31T02:48:58.613945
QCAD,20000,42,0.3453,0.9901,2026-01-31T02:48:58.965318
ROCOD,20000,42,0.2287,0.9999,2026-01-31T02:48:59.200583
IF,20000,123,0.2460,0.6827,2026-01-31T02:48:59.454183
DIF,20000,123,1.6954,0.6542,2026-01-31T02:49:01.156098
PNKDIF,20000,123,1.8593,0.9998,2026-01-31T02:49:03.021900
QCAD,20000,123,0.3377,0.9895,2026-01-31T02:49:03.364985
ROCOD,20000,123,0.2299,0.9999,2026-01-31T02:49:03.600690
IF,20000,456,0.2471,0.6491,2026-01-31T02:49:03.854913
DIF,20000,456,1.7075,0.6442,2026-01-31T02:49:05.569362
PNKDIF,20000,456,2.2214,0.9997,2026-01-31T02:49:07.799431
QCAD,20000,456,0.5269,0.9893,2026-01-31T02:49:08.335181
ROCOD,20000,456,0.3104,0.9999,2026-01-31T02:49:08.654258
IF,50000,42,0.5615,0.6724,2026-01-31T02:49:09.236014
DIF,50000,42,3.2975,0.6534,2026-01-31T02:49:12.545556
PNKDIF,50000,42,3.4683,0.9998,2026-01-31T02:49:16.026827
QCAD,50000,42,0.8724,0.9901,2026-01-31T02:49:16.908355
ROCOD,50000,42,0.5896,0.9999,2026-01-31T02:49:17.510242
IF,50000,123,0.4007,0.6603,2026-01-31T02:49:17.926681
DIF,50000,123,3.1547,0.6532,2026-01-31T02:49:21.094085
PNKDIF,50000,123,4.2429,0.9997,2026-01-31T02:49:25.349455
QCAD,50000,123,0.8750,0.9902,2026-01-31T02:49:26.234230
ROCOD,50000,123,0.6056,0.9999,2026-01-31T02:49:26.851613
IF,50000,456,0.4111,0.6752,2026-01-31T02:49:27.276452
DIF,50000,456,3.4741,0.6589,2026-01-31T02:49:30.767034
PNKDIF,50000,456,4.8188,0.9998,2026-01-31T02:49:35.603533
QCAD,50000,456,1.4162,0.9896,2026-01-31T02:49:37.032876
ROCOD,50000,456,0.7876,0.9999,2026-01-31T02:49:37.841238
