method,n_samples,runtime_mean,runtime_std,auroc_mean
IF,1000,0.11869999999999999,0.005655970296951711,0.6218
IF,2000,0.18083333333333332,0.03666187847524091,0.6802999999999999
IF,5000,0.1873,0.031273631065164155,0.6752666666666668
IF,10000,0.2005,0.024944137587818105,0.6730333333333333
IF,20000,0.265,0.031961070069695736,0.6593
IF,50000,0.45776666666666666,0.08998607299651058,0.6693000000000001
DIF,1000,0.7120333333333333,0.005621684207898317,0.6270333333333333
DIF,2000,1.114766666666667,0.051265030316321236,0.6757333333333334
DIF,5000,0.9925,0.15228223796621854,0.6584666666666666
DIF,10000,1.1689333333333334,0.015672055810688496,0.6648999999999999
DIF,20000,1.7016666666666669,0.006061627944152734,0.6390333333333333
DIF,50000,3.3087666666666666,0.1599977916514266,0.6551666666666667
PNKDIF,1000,0.7431333333333333,0.051140623122262946,0.9996
PNKDIF,2000,1.1219333333333334,0.0873843426097224,0.9994999999999999
PNKDIF,5000,1.0807333333333333,0.19442917305109678,0.9994999999999999
PNKDIF,10000,1.2416,0.03591782287388813,0.9997333333333334
PNKDIF,20000,1.9654999999999998,0.22268064576877802,0.9997333333333334
PNKDIF,50000,4.176666666666667,0.6776818599706896,0.9997666666666666
QCAD,1000,0.0196,0.00459673797382448,0.9955333333333334
QCAD,2000,0.04873333333333333,0.007651361534611559,0.9904333333333334
QCAD,5000,0.12223333333333332,0.025295520024963578,0.9895333333333333
QCAD,10000,0.166,0.0019519221295943069,0.9902000000000001
QCAD,20000,0.40330000000000005,0.1071081696230498,0.9896333333333334
QCAD,50000,1.0545333333333333,0.31321521887247644,0.9899666666666667
ROCOD,1000,0.011433333333333335,0.0012741009902410927,0.9999666666666668
ROCOD,2000,0.022699999999999998,0.001946792233393178,0.9998999999999999
ROCOD,5000,0.0798,0.0018083141320025084,0.9999333333333333
ROCOD,10000,0.10436666666666666,0.0013316656236958767,0.9998666666666667
ROCOD,20000,0.25633333333333336,0.04682695092928146,0.9998999999999999
ROCOD,50000,0.6609333333333334,0.10998787811996978,0.9998999999999999
