dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
creditcard,IF,42,284807,2,28,0.0017,0.945900,0.223939,0.480000,1.908,2026-01-31T10:54:23.199726
creditcard,IF_concat,42,284807,2,28,0.0017,0.949228,0.190613,0.420000,1.873,2026-01-31T10:54:25.233713
creditcard,DIF,42,284807,2,28,0.0017,0.950187,0.150681,0.220000,17.589,2026-01-31T10:54:43.006220
creditcard,DIF_concat,42,284807,2,28,0.0017,0.950133,0.110460,0.100000,16.316,2026-01-31T10:54:59.504969
creditcard,LOF,42,284807,2,28,0.0017,0.512699,0.002148,0.000000,82.219,2026-01-31T10:56:21.864610
creditcard,QCAD,42,284807,2,28,0.0017,0.932071,0.140179,0.240000,88.828,2026-01-31T10:57:50.819348
creditcard,ROCOD,42,284807,2,28,0.0017,0.906855,0.015754,0.000000,44.397,2026-01-31T10:58:35.370017
creditcard,PNKDIF,42,284807,2,28,0.0017,0.936850,0.041624,0.010000,39.766,2026-01-31T10:59:15.314540
creditcard,PNKDIF_uniform,42,284807,2,28,0.0017,0.935833,0.054614,0.070000,28.226,2026-01-31T10:59:43.713996
creditcard,PNKDIF_noMLP,42,284807,2,28,0.0017,0.938218,0.083122,0.190000,25.055,2026-01-31T11:00:08.953623
creditcard,PNKDIF_single,42,284807,2,28,0.0017,0.947565,0.050159,0.000000,24.679,2026-01-31T11:00:33.795949
creditcard,PNKDIF_global,42,284807,2,28,0.0017,0.950133,0.147087,0.240000,14.783,2026-01-31T11:00:48.714068
creditcard,IF,123,284807,2,28,0.0017,0.946754,0.217996,0.560000,1.731,2026-01-31T11:00:53.301377
creditcard,IF_concat,123,284807,2,28,0.0017,0.944452,0.160374,0.310000,1.649,2026-01-31T11:00:55.086078
creditcard,DIF,123,284807,2,28,0.0017,0.948380,0.092705,0.180000,14.767,2026-01-31T11:01:09.991989
creditcard,DIF_concat,123,284807,2,28,0.0017,0.952275,0.127072,0.120000,15.181,2026-01-31T11:01:25.318385
creditcard,LOF,123,284807,2,28,0.0017,0.512699,0.002148,0.000000,76.596,2026-01-31T11:02:42.074679
creditcard,QCAD,123,284807,2,28,0.0017,0.932071,0.140179,0.240000,109.766,2026-01-31T11:04:31.969409
creditcard,ROCOD,123,284807,2,28,0.0017,0.906855,0.015754,0.000000,45.874,2026-01-31T11:05:18.200727
creditcard,PNKDIF,123,284807,2,28,0.0017,0.939840,0.056494,0.070000,45.135,2026-01-31T11:06:03.583377
creditcard,PNKDIF_uniform,123,284807,2,28,0.0017,0.942959,0.056677,0.060000,33.867,2026-01-31T11:06:37.673864
creditcard,PNKDIF_noMLP,123,284807,2,28,0.0017,0.941091,0.103162,0.140000,31.418,2026-01-31T11:07:09.352030
creditcard,PNKDIF_single,123,284807,2,28,0.0017,0.933962,0.032943,0.000000,28.255,2026-01-31T11:07:37.850963
creditcard,PNKDIF_global,123,284807,2,28,0.0017,0.956652,0.150084,0.210000,17.737,2026-01-31T11:07:55.774702
creditcard,IF,456,284807,2,28,0.0017,0.944346,0.146615,0.380000,1.941,2026-01-31T11:08:01.384745
creditcard,IF_concat,456,284807,2,28,0.0017,0.949414,0.101024,0.130000,1.970,2026-01-31T11:08:03.535611
creditcard,DIF,456,284807,2,28,0.0017,0.953664,0.187293,0.380000,15.602,2026-01-31T11:08:19.304379
creditcard,DIF_concat,456,284807,2,28,0.0017,0.951251,0.135203,0.270000,15.998,2026-01-31T11:08:35.485023
creditcard,LOF,456,284807,2,28,0.0017,0.512699,0.002148,0.000000,100.944,2026-01-31T11:10:16.625504
creditcard,QCAD,456,284807,2,28,0.0017,0.932071,0.140179,0.240000,129.484,2026-01-31T11:12:26.255904
creditcard,ROCOD,456,284807,2,28,0.0017,0.906855,0.015754,0.000000,49.577,2026-01-31T11:13:15.999259
creditcard,PNKDIF,456,284807,2,28,0.0017,0.940527,0.069383,0.090000,42.572,2026-01-31T11:13:58.829405
creditcard,PNKDIF_uniform,456,284807,2,28,0.0017,0.940012,0.059806,0.070000,28.309,2026-01-31T11:14:27.321983
creditcard,PNKDIF_noMLP,456,284807,2,28,0.0017,0.942881,0.173237,0.420000,42.299,2026-01-31T11:15:09.990866
creditcard,PNKDIF_single,456,284807,2,28,0.0017,0.940497,0.075028,0.140000,40.592,2026-01-31T11:15:50.886137
creditcard,PNKDIF_global,456,284807,2,28,0.0017,0.952092,0.163306,0.270000,21.794,2026-01-31T11:16:12.940490
creditcard,IF,789,284807,2,28,0.0017,0.951955,0.246991,0.610000,2.907,2026-01-31T11:16:20.625461
creditcard,IF_concat,789,284807,2,28,0.0017,0.948196,0.149110,0.270000,2.853,2026-01-31T11:16:23.719237
creditcard,DIF,789,284807,2,28,0.0017,0.952708,0.112216,0.080000,25.292,2026-01-31T11:16:49.191347
creditcard,DIF_concat,789,284807,2,28,0.0017,0.953276,0.154795,0.220000,17.801,2026-01-31T11:17:07.233369
creditcard,LOF,789,284807,2,28,0.0017,0.512699,0.002148,0.000000,108.832,2026-01-31T11:18:56.310460
creditcard,QCAD,789,284807,2,28,0.0017,0.932071,0.140179,0.240000,116.067,2026-01-31T11:20:52.532166
creditcard,ROCOD,789,284807,2,28,0.0017,0.906855,0.015754,0.000000,46.651,2026-01-31T11:21:39.386616
creditcard,PNKDIF,789,284807,2,28,0.0017,0.933945,0.047204,0.070000,47.131,2026-01-31T11:22:26.774626
creditcard,PNKDIF_uniform,789,284807,2,28,0.0017,0.936893,0.055325,0.010000,35.812,2026-01-31T11:23:02.803959
creditcard,PNKDIF_noMLP,789,284807,2,28,0.0017,0.936933,0.117716,0.270000,36.499,2026-01-31T11:23:39.581657
creditcard,PNKDIF_single,789,284807,2,28,0.0017,0.946973,0.077161,0.070000,32.354,2026-01-31T11:24:12.162346
creditcard,PNKDIF_global,789,284807,2,28,0.0017,0.950491,0.122465,0.120000,17.464,2026-01-31T11:24:29.805252
creditcard,IF,1011,284807,2,28,0.0017,0.949466,0.189785,0.400000,2.120,2026-01-31T11:24:35.446706
creditcard,IF_concat,1011,284807,2,28,0.0017,0.953183,0.204299,0.390000,1.941,2026-01-31T11:24:37.562282
creditcard,DIF,1011,284807,2,28,0.0017,0.951361,0.157260,0.300000,16.368,2026-01-31T11:24:54.146014
creditcard,DIF_concat,1011,284807,2,28,0.0017,0.950492,0.243833,0.640000,18.351,2026-01-31T11:25:12.677383
creditcard,LOF,1011,284807,2,28,0.0017,0.512699,0.002148,0.000000,116.078,2026-01-31T11:27:08.992105
creditcard,QCAD,1011,284807,2,28,0.0017,0.932071,0.140179,0.240000,154.410,2026-01-31T11:29:43.555212
creditcard,ROCOD,1011,284807,2,28,0.0017,0.906855,0.015754,0.000000,48.700,2026-01-31T11:30:32.613633
creditcard,PNKDIF,1011,284807,2,28,0.0017,0.940978,0.060467,0.060000,44.864,2026-01-31T11:31:17.778196
creditcard,PNKDIF_uniform,1011,284807,2,28,0.0017,0.938652,0.066863,0.110000,43.410,2026-01-31T11:32:01.498960
creditcard,PNKDIF_noMLP,1011,284807,2,28,0.0017,0.937930,0.096711,0.180000,45.148,2026-01-31T11:32:47.028131
creditcard,PNKDIF_single,1011,284807,2,28,0.0017,0.937815,0.051599,0.010000,42.161,2026-01-31T11:33:29.586765
creditcard,PNKDIF_global,1011,284807,2,28,0.0017,0.951032,0.177999,0.340000,23.778,2026-01-31T11:33:53.659598
creditcard,IF,1213,284807,2,28,0.0017,0.950868,0.160914,0.360000,3.278,2026-01-31T11:34:02.004555
creditcard,IF_concat,1213,284807,2,28,0.0017,0.947576,0.190719,0.420000,3.219,2026-01-31T11:34:05.522156
creditcard,DIF,1213,284807,2,28,0.0017,0.952280,0.174250,0.390000,24.249,2026-01-31T11:34:30.044678
creditcard,DIF_concat,1213,284807,2,28,0.0017,0.952505,0.155489,0.240000,23.626,2026-01-31T11:34:53.961188
creditcard,LOF,1213,284807,2,28,0.0017,0.512699,0.002148,0.000000,122.080,2026-01-31T11:36:56.303558
creditcard,QCAD,1213,284807,2,28,0.0017,0.932071,0.140179,0.240000,181.887,2026-01-31T11:39:58.396963
creditcard,ROCOD,1213,284807,2,28,0.0017,0.906855,0.015754,0.000000,74.322,2026-01-31T11:41:13.015547
creditcard,PNKDIF,1213,284807,2,28,0.0017,0.944369,0.092480,0.170000,72.856,2026-01-31T11:42:26.271266
creditcard,PNKDIF_uniform,1213,284807,2,28,0.0017,0.940642,0.075737,0.150000,52.094,2026-01-31T11:43:18.684281
creditcard,PNKDIF_noMLP,1213,284807,2,28,0.0017,0.942057,0.119248,0.290000,42.924,2026-01-31T11:44:01.953939
creditcard,PNKDIF_single,1213,284807,2,28,0.0017,0.949135,0.079717,0.130000,43.651,2026-01-31T11:44:45.964828
creditcard,PNKDIF_global,1213,284807,2,28,0.0017,0.953692,0.241482,0.610000,21.826,2026-01-31T11:45:08.033962
creditcard,IF,1415,284807,2,28,0.0017,0.945745,0.110505,0.220000,2.943,2026-01-31T11:45:15.333065
creditcard,IF_concat,1415,284807,2,28,0.0017,0.950107,0.151149,0.320000,2.711,2026-01-31T11:45:18.293807
creditcard,DIF,1415,284807,2,28,0.0017,0.953716,0.113600,0.170000,20.951,2026-01-31T11:45:39.479120
creditcard,DIF_concat,1415,284807,2,28,0.0017,0.951228,0.125754,0.110000,21.545,2026-01-31T11:46:01.275937
creditcard,LOF,1415,284807,2,28,0.0017,0.512699,0.002148,0.000000,122.707,2026-01-31T11:48:04.233736
creditcard,QCAD,1415,284807,2,28,0.0017,0.932071,0.140179,0.240000,212.530,2026-01-31T11:51:36.999085
creditcard,ROCOD,1415,284807,2,28,0.0017,0.906855,0.015754,0.000000,73.155,2026-01-31T11:52:50.450326
creditcard,PNKDIF,1415,284807,2,28,0.0017,0.937369,0.053128,0.040000,78.196,2026-01-31T11:54:09.050768
creditcard,PNKDIF_uniform,1415,284807,2,28,0.0017,0.937225,0.059592,0.100000,54.005,2026-01-31T11:55:03.368265
creditcard,PNKDIF_noMLP,1415,284807,2,28,0.0017,0.937771,0.118615,0.250000,47.464,2026-01-31T11:55:51.213984
creditcard,PNKDIF_single,1415,284807,2,28,0.0017,0.933238,0.047799,0.010000,46.091,2026-01-31T11:56:37.748726
creditcard,PNKDIF_global,1415,284807,2,28,0.0017,0.950514,0.147371,0.200000,28.618,2026-01-31T11:57:06.708404
creditcard,IF,1617,284807,2,28,0.0017,0.948206,0.138399,0.200000,3.213,2026-01-31T11:57:15.365148
creditcard,IF_concat,1617,284807,2,28,0.0017,0.949658,0.130433,0.220000,3.180,2026-01-31T11:57:18.857822
creditcard,DIF,1617,284807,2,28,0.0017,0.954400,0.138692,0.110000,24.659,2026-01-31T11:57:43.811650
creditcard,DIF_concat,1617,284807,2,28,0.0017,0.950851,0.129380,0.220000,24.742,2026-01-31T11:58:08.857298
creditcard,LOF,1617,284807,2,28,0.0017,0.512699,0.002148,0.000000,129.062,2026-01-31T12:00:18.214504
creditcard,QCAD,1617,284807,2,28,0.0017,0.932071,0.140179,0.240000,846.861,2026-01-31T12:14:25.174159
creditcard,ROCOD,1617,284807,2,28,0.0017,0.906855,0.015754,0.000000,36.645,2026-01-31T12:15:02.007120
creditcard,PNKDIF,1617,284807,2,28,0.0017,0.934885,0.059684,0.090000,35.538,2026-01-31T12:15:37.769953
creditcard,PNKDIF_uniform,1617,284807,2,28,0.0017,0.938434,0.062203,0.130000,24.488,2026-01-31T12:16:02.384761
creditcard,PNKDIF_noMLP,1617,284807,2,28,0.0017,0.937132,0.094572,0.180000,20.064,2026-01-31T12:16:22.643935
creditcard,PNKDIF_single,1617,284807,2,28,0.0017,0.929990,0.053670,0.040000,24.174,2026-01-31T12:16:47.073158
creditcard,PNKDIF_global,1617,284807,2,28,0.0017,0.950317,0.162313,0.330000,12.331,2026-01-31T12:16:59.545335
creditcard,IF,1819,284807,2,28,0.0017,0.950894,0.181864,0.240000,1.536,2026-01-31T12:17:03.324076
