dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
ieee_cis,IF,42,50000,11,31,0.0271,0.567741,0.041730,0.180000,0.577,2026-01-31T10:54:22.197948
ieee_cis,IF_concat,42,50000,11,31,0.0271,0.601314,0.050693,0.160000,0.563,2026-01-31T10:54:22.791460
ieee_cis,DIF,42,50000,11,31,0.0271,0.492256,0.031906,0.150000,4.565,2026-01-31T10:54:27.388797
ieee_cis,DIF_concat,42,50000,11,31,0.0271,0.574839,0.039944,0.130000,5.386,2026-01-31T10:54:32.805875
ieee_cis,LOF,42,50000,11,31,0.0271,0.483853,0.030873,0.080000,5.029,2026-01-31T10:54:37.866281
ieee_cis,QCAD,42,50000,11,31,0.0271,0.430595,0.022282,0.000000,98.388,2026-01-31T10:56:16.285728
ieee_cis,ROCOD,42,50000,11,31,0.0271,0.562693,0.032448,0.000000,39.121,2026-01-31T10:56:55.429633
ieee_cis,PNKDIF,42,50000,11,31,0.0271,0.519860,0.028615,0.000000,39.638,2026-01-31T10:57:35.096479
ieee_cis,PNKDIF_uniform,42,50000,11,31,0.0271,0.519081,0.029053,0.000000,40.929,2026-01-31T10:58:16.055260
ieee_cis,PNKDIF_noMLP,42,50000,11,31,0.0271,0.581409,0.037801,0.060000,47.308,2026-01-31T10:59:03.398554
ieee_cis,PNKDIF_single,42,50000,11,31,0.0271,0.503350,0.027375,0.010000,50.224,2026-01-31T10:59:53.655971
ieee_cis,PNKDIF_global,42,50000,11,31,0.0271,0.497554,0.033299,0.150000,4.253,2026-01-31T10:59:57.932024
ieee_cis,IF,123,50000,11,31,0.0271,0.554098,0.041349,0.220000,0.502,2026-01-31T11:00:00.123770
ieee_cis,IF_concat,123,50000,11,31,0.0271,0.596093,0.048679,0.210000,0.598,2026-01-31T11:00:00.747203
ieee_cis,DIF,123,50000,11,31,0.0271,0.495808,0.032793,0.140000,4.817,2026-01-31T11:00:05.590952
ieee_cis,DIF_concat,123,50000,11,31,0.0271,0.568467,0.039306,0.170000,3.945,2026-01-31T11:00:09.560548
ieee_cis,LOF,123,50000,11,31,0.0271,0.483853,0.030873,0.080000,2.779,2026-01-31T11:00:12.369277
ieee_cis,QCAD,123,50000,11,31,0.0271,0.430595,0.022282,0.000000,65.874,2026-01-31T11:01:18.267412
ieee_cis,ROCOD,123,50000,11,31,0.0271,0.562693,0.032448,0.000000,70.350,2026-01-31T11:02:28.653262
ieee_cis,PNKDIF,123,50000,11,31,0.0271,0.520105,0.029033,0.000000,56.623,2026-01-31T11:03:25.305689
ieee_cis,PNKDIF_uniform,123,50000,11,31,0.0271,0.519823,0.028852,0.000000,47.762,2026-01-31T11:04:13.095176
ieee_cis,PNKDIF_noMLP,123,50000,11,31,0.0271,0.581886,0.038527,0.060000,59.548,2026-01-31T11:05:12.717957
ieee_cis,PNKDIF_single,123,50000,11,31,0.0271,0.525076,0.029934,0.000000,87.084,2026-01-31T11:06:39.873366
ieee_cis,PNKDIF_global,123,50000,11,31,0.0271,0.495424,0.031703,0.120000,4.873,2026-01-31T11:06:44.781094
ieee_cis,IF,456,50000,11,31,0.0271,0.557292,0.041416,0.280000,0.600,2026-01-31T11:06:47.574168
ieee_cis,IF_concat,456,50000,11,31,0.0271,0.595838,0.049688,0.230000,0.679,2026-01-31T11:06:48.288544
ieee_cis,DIF,456,50000,11,31,0.0271,0.496892,0.031935,0.140000,5.643,2026-01-31T11:06:53.966921
ieee_cis,DIF_concat,456,50000,11,31,0.0271,0.574712,0.039798,0.110000,6.866,2026-01-31T11:07:00.870060
ieee_cis,LOF,456,50000,11,31,0.0271,0.483853,0.030873,0.080000,3.961,2026-01-31T11:07:04.867675
ieee_cis,QCAD,456,50000,11,31,0.0271,0.430595,0.022282,0.000000,106.850,2026-01-31T11:08:51.796866
ieee_cis,ROCOD,456,50000,11,31,0.0271,0.562693,0.032448,0.000000,88.435,2026-01-31T11:10:20.274116
ieee_cis,PNKDIF,456,50000,11,31,0.0271,0.519319,0.028671,0.000000,75.854,2026-01-31T11:11:36.162251
