dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_highdim_context,IF,42,10000,20,3,0.05,0.843869,0.251166,0.35,0.285,2026-01-31T03:56:04.201128
syn_highdim_context,IF_concat,42,10000,20,3,0.05,0.576281,0.070099,0.15,0.237,2026-01-31T03:56:04.451506
syn_highdim_context,DIF,42,10000,20,3,0.05,0.861344,0.275627,0.31,1.828,2026-01-31T03:56:06.291470
syn_highdim_context,DIF_concat,42,10000,20,3,0.05,0.674429,0.109538,0.24,1.974,2026-01-31T03:56:08.275866
syn_highdim_context,LOF,42,10000,20,3,0.05,0.760045,0.195233,0.43,2.081,2026-01-31T03:56:10.368483
syn_highdim_context,QCAD,42,10000,20,3,0.05,0.800355,0.191924,0.41,0.647,2026-01-31T03:56:11.025169
syn_highdim_context,ROCOD,42,10000,20,3,0.05,0.865917,0.261994,0.43,0.32,2026-01-31T03:56:11.355050
syn_highdim_context,PNKDIF,42,10000,20,3,0.05,0.922003,0.432555,0.46,2.159,2026-01-31T03:56:13.523418
syn_highdim_context,PNKDIF_uniform,42,10000,20,3,0.05,0.922802,0.44189,0.5,2.111,2026-01-31T03:56:15.644257
syn_highdim_context,PNKDIF_noMLP,42,10000,20,3,0.05,0.913006,0.397858,0.45,0.61,2026-01-31T03:56:16.265106
syn_highdim_context,PNKDIF_single,42,10000,20,3,0.05,0.917508,0.427251,0.52,0.611,2026-01-31T03:56:16.887244
syn_highdim_context,PNKDIF_global,42,10000,20,3,0.05,0.857786,0.275135,0.32,1.885,2026-01-31T03:56:18.783333
syn_highdim_context,IF,123,10000,20,3,0.05,0.846059,0.246664,0.34,0.284,2026-01-31T03:56:19.499241
syn_highdim_context,IF_concat,123,10000,20,3,0.05,0.576105,0.065297,0.09,0.271,2026-01-31T03:56:19.780451
syn_highdim_context,DIF,123,10000,20,3,0.05,0.868052,0.284367,0.32,2.081,2026-01-31T03:56:21.873162
syn_highdim_context,DIF_concat,123,10000,20,3,0.05,0.666656,0.101871,0.21,2.001,2026-01-31T03:56:23.884726
syn_highdim_context,LOF,123,10000,20,3,0.05,0.768264,0.180858,0.35,0.112,2026-01-31T03:56:24.006317
syn_highdim_context,QCAD,123,10000,20,3,0.05,0.798285,0.204429,0.47,0.595,2026-01-31T03:56:24.611908
syn_highdim_context,ROCOD,123,10000,20,3,0.05,0.866689,0.282505,0.45,0.319,2026-01-31T03:56:24.939824
syn_highdim_context,PNKDIF,123,10000,20,3,0.05,0.927294,0.417591,0.42,2.364,2026-01-31T03:56:27.314741
syn_highdim_context,PNKDIF_uniform,123,10000,20,3,0.05,0.930077,0.434051,0.47,2.246,2026-01-31T03:56:29.573895
syn_highdim_context,PNKDIF_noMLP,123,10000,20,3,0.05,0.922101,0.409343,0.46,0.603,2026-01-31T03:56:30.188838
syn_highdim_context,PNKDIF_single,123,10000,20,3,0.05,0.923183,0.394842,0.32,0.603,2026-01-31T03:56:30.803530
syn_highdim_context,PNKDIF_global,123,10000,20,3,0.05,0.860615,0.275061,0.33,1.782,2026-01-31T03:56:32.593873
syn_highdim_context,IF,456,10000,20,3,0.05,0.84647,0.246215,0.39,0.298,2026-01-31T03:56:33.280986
syn_highdim_context,IF_concat,456,10000,20,3,0.05,0.603507,0.074825,0.12,0.285,2026-01-31T03:56:33.578245
syn_highdim_context,DIF,456,10000,20,3,0.05,0.87077,0.285322,0.33,2.056,2026-01-31T03:56:35.643837
syn_highdim_context,DIF_concat,456,10000,20,3,0.05,0.688293,0.12303,0.26,1.794,2026-01-31T03:56:37.448732
syn_highdim_context,LOF,456,10000,20,3,0.05,0.763267,0.202172,0.46,0.108,2026-01-31T03:56:37.566719
syn_highdim_context,QCAD,456,10000,20,3,0.05,0.796938,0.196526,0.49,0.598,2026-01-31T03:56:38.174686
syn_highdim_context,ROCOD,456,10000,20,3,0.05,0.860943,0.260576,0.43,0.299,2026-01-31T03:56:38.483843
