dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
paysim,IF,42,50000,3,7,0.0020,0.515210,0.007133,0.040000,0.483,2026-01-31T10:54:20.944528
paysim,IF_concat,42,50000,3,7,0.0020,0.689183,0.008924,0.030000,0.512,2026-01-31T10:54:21.481730
paysim,DIF,42,50000,3,7,0.0020,0.605251,0.063468,0.080000,4.478,2026-01-31T10:54:25.983247
paysim,DIF_concat,42,50000,3,7,0.0020,0.741739,0.064217,0.080000,5.126,2026-01-31T10:54:31.141166
paysim,LOF,42,50000,3,7,0.0020,0.615814,0.031539,0.040000,11.719,2026-01-31T10:54:42.896211
paysim,QCAD,42,50000,3,7,0.0020,0.605873,0.002821,0.000000,7.546,2026-01-31T10:54:50.472045
paysim,ROCOD,42,50000,3,7,0.0020,0.814600,0.082096,0.110000,3.938,2026-01-31T10:54:54.440583
paysim,PNKDIF,42,50000,3,7,0.0020,0.678757,0.010472,0.050000,7.969,2026-01-31T10:55:02.445961
paysim,PNKDIF_uniform,42,50000,3,7,0.0020,0.655510,0.009883,0.050000,8.288,2026-01-31T10:55:10.768686
paysim,PNKDIF_noMLP,42,50000,3,7,0.0020,0.688607,0.022031,0.050000,4.571,2026-01-31T10:55:15.373611
paysim,PNKDIF_single,42,50000,3,7,0.0020,0.730589,0.024916,0.060000,4.698,2026-01-31T10:55:20.106622
paysim,PNKDIF_global,42,50000,3,7,0.0020,0.595246,0.050460,0.080000,4.718,2026-01-31T10:55:24.856959
paysim,IF,123,50000,3,7,0.0020,0.525913,0.005409,0.030000,0.619,2026-01-31T10:55:25.678190
paysim,IF_concat,123,50000,3,7,0.0020,0.688426,0.006361,0.030000,0.591,2026-01-31T10:55:26.304261
paysim,DIF,123,50000,3,7,0.0020,0.603218,0.054192,0.080000,4.724,2026-01-31T10:55:31.061576
paysim,DIF_concat,123,50000,3,7,0.0020,0.733515,0.023901,0.080000,4.800,2026-01-31T10:55:35.895758
paysim,LOF,123,50000,3,7,0.0020,0.615814,0.031539,0.040000,10.719,2026-01-31T10:55:46.653138
paysim,QCAD,123,50000,3,7,0.0020,0.605873,0.002821,0.000000,8.593,2026-01-31T10:55:55.277848
paysim,ROCOD,123,50000,3,7,0.0020,0.814600,0.082096,0.110000,4.421,2026-01-31T10:55:59.739413
paysim,PNKDIF,123,50000,3,7,0.0020,0.672901,0.009657,0.050000,8.849,2026-01-31T10:56:08.620560
paysim,PNKDIF_uniform,123,50000,3,7,0.0020,0.645272,0.009163,0.050000,7.946,2026-01-31T10:56:16.601164
paysim,PNKDIF_noMLP,123,50000,3,7,0.0020,0.684507,0.018828,0.050000,4.295,2026-01-31T10:56:20.927883
paysim,PNKDIF_single,123,50000,3,7,0.0020,0.703188,0.009364,0.050000,3.403,2026-01-31T10:56:24.359192
paysim,PNKDIF_global,123,50000,3,7,0.0020,0.590539,0.059687,0.080000,3.647,2026-01-31T10:56:28.031009
paysim,IF,456,50000,3,7,0.0020,0.546430,0.008317,0.020000,0.413,2026-01-31T10:56:28.608418
paysim,IF_concat,456,50000,3,7,0.0020,0.688025,0.006048,0.030000,0.414,2026-01-31T10:56:29.049556
paysim,DIF,456,50000,3,7,0.0020,0.589994,0.051326,0.080000,3.402,2026-01-31T10:56:32.472458
paysim,DIF_concat,456,50000,3,7,0.0020,0.758542,0.030147,0.080000,3.356,2026-01-31T10:56:35.851089
paysim,LOF,456,50000,3,7,0.0020,0.615814,0.031539,0.040000,5.454,2026-01-31T10:56:41.328010
paysim,QCAD,456,50000,3,7,0.0020,0.605873,0.002821,0.000000,5.829,2026-01-31T10:56:47.179520
paysim,ROCOD,456,50000,3,7,0.0020,0.814600,0.082096,0.110000,3.290,2026-01-31T10:56:50.496596
paysim,PNKDIF,456,50000,3,7,0.0020,0.679059,0.009608,0.050000,6.669,2026-01-31T10:56:57.192912
paysim,PNKDIF_uniform,456,50000,3,7,0.0020,0.665718,0.012948,0.070000,5.825,2026-01-31T10:57:03.041710
paysim,PNKDIF_noMLP,456,50000,3,7,0.0020,0.714507,0.009723,0.040000,3.290,2026-01-31T10:57:06.355473
paysim,PNKDIF_single,456,50000,3,7,0.0020,0.688634,0.009094,0.030000,3.297,2026-01-31T10:57:09.678878
paysim,PNKDIF_global,456,50000,3,7,0.0020,0.595175,0.064040,0.080000,3.333,2026-01-31T10:57:13.042948
paysim,IF,789,50000,3,7,0.0020,0.540066,0.011557,0.040000,0.389,2026-01-31T10:57:13.622138
paysim,IF_concat,789,50000,3,7,0.0020,0.677092,0.005367,0.020000,0.438,2026-01-31T10:57:14.086503
paysim,DIF,789,50000,3,7,0.0020,0.597180,0.064803,0.080000,3.386,2026-01-31T10:57:17.496515
paysim,DIF_concat,789,50000,3,7,0.0020,0.730748,0.068004,0.080000,3.316,2026-01-31T10:57:20.836222
paysim,LOF,789,50000,3,7,0.0020,0.615814,0.031539,0.040000,5.892,2026-01-31T10:57:26.751735
paysim,QCAD,789,50000,3,7,0.0020,0.605873,0.002821,0.000000,6.013,2026-01-31T10:57:32.784818
paysim,ROCOD,789,50000,3,7,0.0020,0.814600,0.082096,0.110000,3.191,2026-01-31T10:57:36.003200
paysim,PNKDIF,789,50000,3,7,0.0020,0.653044,0.013511,0.050000,6.474,2026-01-31T10:57:42.500376
paysim,PNKDIF_uniform,789,50000,3,7,0.0020,0.651356,0.009754,0.050000,5.777,2026-01-31T10:57:48.299008
paysim,PNKDIF_noMLP,789,50000,3,7,0.0020,0.687971,0.013818,0.050000,3.208,2026-01-31T10:57:51.529303
paysim,PNKDIF_single,789,50000,3,7,0.0020,0.688072,0.010453,0.050000,3.234,2026-01-31T10:57:54.785595
paysim,PNKDIF_global,789,50000,3,7,0.0020,0.605381,0.063905,0.080000,4.089,2026-01-31T10:57:58.904810
paysim,IF,1011,50000,3,7,0.0020,0.493901,0.002841,0.020000,0.404,2026-01-31T10:57:59.495783
paysim,IF_concat,1011,50000,3,7,0.0020,0.715727,0.009160,0.040000,0.486,2026-01-31T10:58:00.004620
paysim,DIF,1011,50000,3,7,0.0020,0.602760,0.062285,0.080000,3.509,2026-01-31T10:58:03.544150
paysim,DIF_concat,1011,50000,3,7,0.0020,0.742987,0.058208,0.080000,3.452,2026-01-31T10:58:07.020093
paysim,LOF,1011,50000,3,7,0.0020,0.615814,0.031539,0.040000,6.325,2026-01-31T10:58:13.368159
paysim,QCAD,1011,50000,3,7,0.0020,0.605873,0.002821,0.000000,6.406,2026-01-31T10:58:19.799209
paysim,ROCOD,1011,50000,3,7,0.0020,0.814600,0.082096,0.110000,3.607,2026-01-31T10:58:23.437013
paysim,PNKDIF,1011,50000,3,7,0.0020,0.678056,0.010719,0.050000,6.407,2026-01-31T10:58:29.871708
paysim,PNKDIF_uniform,1011,50000,3,7,0.0020,0.675177,0.010211,0.060000,6.397,2026-01-31T10:58:36.289852
paysim,PNKDIF_noMLP,1011,50000,3,7,0.0020,0.725978,0.023308,0.050000,3.219,2026-01-31T10:58:39.531980
paysim,PNKDIF_single,1011,50000,3,7,0.0020,0.638967,0.014969,0.050000,3.497,2026-01-31T10:58:43.057642
paysim,PNKDIF_global,1011,50000,3,7,0.0020,0.596245,0.064255,0.080000,4.522,2026-01-31T10:58:47.611757
paysim,IF,1213,50000,3,7,0.0020,0.513646,0.005373,0.020000,0.438,2026-01-31T10:58:48.218551
paysim,IF_concat,1213,50000,3,7,0.0020,0.711163,0.007851,0.040000,0.424,2026-01-31T10:58:48.671247
paysim,DIF,1213,50000,3,7,0.0020,0.599613,0.055070,0.080000,5.269,2026-01-31T10:58:53.970965
paysim,DIF_concat,1213,50000,3,7,0.0020,0.749560,0.027731,0.080000,4.714,2026-01-31T10:58:58.712244
paysim,LOF,1213,50000,3,7,0.0020,0.615814,0.031539,0.040000,8.772,2026-01-31T10:59:07.514484
paysim,QCAD,1213,50000,3,7,0.0020,0.605873,0.002821,0.000000,5.791,2026-01-31T10:59:13.329577
paysim,ROCOD,1213,50000,3,7,0.0020,0.814600,0.082096,0.110000,3.212,2026-01-31T10:59:16.567591
