dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
adult_original,IF,42,30162,5,4,0.2489,0.603763,0.399453,0.960000,0.259,2026-01-31T03:06:10.584909
adult_original,IF_concat,42,30162,5,4,0.2489,0.537815,0.316562,0.630000,0.268,2026-01-31T03:06:10.865458
adult_original,DIF,42,30162,5,4,0.2489,0.597128,0.366140,1.000000,2.276,2026-01-31T03:06:13.154170
adult_original,DIF_concat,42,30162,5,4,0.2489,0.511592,0.299003,1.000000,2.158,2026-01-31T03:06:15.326182
adult_original,LOF,42,30162,5,4,0.2489,0.522686,0.256033,0.100000,6.177,2026-01-31T03:06:21.518692
adult_original,QCAD,42,30162,5,4,0.2489,0.375379,0.195477,0.120000,4.723,2026-01-31T03:06:26.259951
adult_original,ROCOD,42,30162,5,4,0.2489,0.604976,0.397094,1.000000,3.466,2026-01-31T03:06:29.745724
adult_original,PNKDIF,42,30162,5,4,0.2489,0.612206,0.346685,0.560000,6.440,2026-01-31T03:06:36.203790
adult_original,PNKDIF_uniform,42,30162,5,4,0.2489,0.611831,0.346150,0.510000,5.886,2026-01-31T03:06:42.108591
adult_original,PNKDIF_noMLP,42,30162,5,4,0.2489,0.630212,0.379829,0.620000,3.588,2026-01-31T03:06:45.715630
adult_original,IF,123,30162,5,4,0.2489,0.611330,0.411264,1.000000,0.409,2026-01-31T03:06:46.267451
adult_original,IF_concat,123,30162,5,4,0.2489,0.521108,0.293902,0.530000,0.299,2026-01-31T03:06:46.580199
adult_original,DIF,123,30162,5,4,0.2489,0.598151,0.360340,1.000000,2.849,2026-01-31T03:06:49.442574
adult_original,DIF_concat,123,30162,5,4,0.2489,0.518064,0.302736,1.000000,2.712,2026-01-31T03:06:52.172716
adult_original,LOF,123,30162,5,4,0.2489,0.522686,0.256033,0.100000,6.167,2026-01-31T03:06:58.356205
adult_original,QCAD,123,30162,5,4,0.2489,0.375379,0.195477,0.120000,4.260,2026-01-31T03:07:02.629502
adult_original,ROCOD,123,30162,5,4,0.2489,0.604976,0.397094,1.000000,3.198,2026-01-31T03:07:05.844630
adult_original,PNKDIF,123,30162,5,4,0.2489,0.614853,0.344496,0.620000,6.038,2026-01-31T03:07:11.900655
adult_original,PNKDIF_uniform,123,30162,5,4,0.2489,0.612590,0.347126,0.650000,5.908,2026-01-31T03:07:17.827442
adult_original,PNKDIF_noMLP,123,30162,5,4,0.2489,0.625363,0.375390,0.590000,3.699,2026-01-31T03:07:21.543991
adult_original,IF,456,30162,5,4,0.2489,0.623818,0.432410,0.990000,0.393,2026-01-31T03:07:22.073363
adult_original,IF_concat,456,30162,5,4,0.2489,0.529882,0.297009,0.580000,0.405,2026-01-31T03:07:22.496317
adult_original,DIF,456,30162,5,4,0.2489,0.598079,0.360240,1.000000,2.683,2026-01-31T03:07:25.192465
adult_original,DIF_concat,456,30162,5,4,0.2489,0.515902,0.299168,1.000000,2.594,2026-01-31T03:07:27.804136
adult_original,LOF,456,30162,5,4,0.2489,0.522686,0.256033,0.100000,4.375,2026-01-31T03:07:32.192958
adult_original,QCAD,456,30162,5,4,0.2489,0.375379,0.195477,0.120000,3.585,2026-01-31T03:07:35.793741
adult_original,ROCOD,456,30162,5,4,0.2489,0.604976,0.397094,1.000000,3.510,2026-01-31T03:07:39.322396
adult_original,PNKDIF,456,30162,5,4,0.2489,0.610967,0.343679,0.540000,6.065,2026-01-31T03:07:45.407310
adult_original,PNKDIF_uniform,456,30162,5,4,0.2489,0.616058,0.349670,0.580000,6.097,2026-01-31T03:07:51.524633
adult_original,PNKDIF_noMLP,456,30162,5,4,0.2489,0.614233,0.370089,0.660000,3.589,2026-01-31T03:07:55.132187
adult_original,IF,789,30162,5,4,0.2489,0.607608,0.417823,0.990000,0.393,2026-01-31T03:07:55.665084
adult_original,IF_concat,789,30162,5,4,0.2489,0.496485,0.268830,0.400000,0.405,2026-01-31T03:07:56.087468
adult_original,DIF,789,30162,5,4,0.2489,0.592696,0.354226,1.000000,2.905,2026-01-31T03:07:59.009440
adult_original,DIF_concat,789,30162,5,4,0.2489,0.509918,0.312681,1.000000,2.866,2026-01-31T03:08:01.893407
adult_original,LOF,789,30162,5,4,0.2489,0.522686,0.256033,0.100000,6.085,2026-01-31T03:08:07.997295
adult_original,QCAD,789,30162,5,4,0.2489,0.375379,0.195477,0.120000,4.576,2026-01-31T03:08:12.589837
adult_original,ROCOD,789,30162,5,4,0.2489,0.604976,0.397094,1.000000,3.263,2026-01-31T03:08:15.869390
adult_original,PNKDIF,789,30162,5,4,0.2489,0.610018,0.341827,0.330000,6.158,2026-01-31T03:08:22.045252
adult_original,PNKDIF_uniform,789,30162,5,4,0.2489,0.614017,0.348046,0.450000,5.936,2026-01-31T03:08:27.996671
adult_original,PNKDIF_noMLP,789,30162,5,4,0.2489,0.625659,0.375263,0.590000,3.744,2026-01-31T03:08:31.758727
adult_original,IF,1011,30162,5,4,0.2489,0.613322,0.427457,0.990000,0.389,2026-01-31T03:08:32.283533
adult_original,IF_concat,1011,30162,5,4,0.2489,0.535357,0.304902,0.750000,0.410,2026-01-31T03:08:32.711332
adult_original,DIF,1011,30162,5,4,0.2489,0.595466,0.360206,1.000000,2.956,2026-01-31T03:08:35.686323
adult_original,DIF_concat,1011,30162,5,4,0.2489,0.517417,0.301301,1.000000,3.089,2026-01-31T03:08:38.794310
adult_original,LOF,1011,30162,5,4,0.2489,0.522686,0.256033,0.100000,6.430,2026-01-31T03:08:45.243695
adult_original,QCAD,1011,30162,5,4,0.2489,0.375379,0.195477,0.120000,4.689,2026-01-31T03:08:49.947534
adult_original,ROCOD,1011,30162,5,4,0.2489,0.604976,0.397094,1.000000,3.036,2026-01-31T03:08:52.998401
adult_original,PNKDIF,1011,30162,5,4,0.2489,0.607200,0.340627,0.330000,4.571,2026-01-31T03:08:57.584570
adult_original,PNKDIF_uniform,1011,30162,5,4,0.2489,0.612214,0.342108,0.380000,4.768,2026-01-31T03:09:02.366489
adult_original,PNKDIF_noMLP,1011,30162,5,4,0.2489,0.636455,0.402653,0.740000,2.659,2026-01-31T03:09:05.038675
adult_shift,IF,42,30162,5,4,0.0500,0.993516,0.875130,1.000000,0.247,2026-01-31T03:09:05.522019
adult_shift,IF_concat,42,30162,5,4,0.0500,0.955915,0.511550,0.820000,0.267,2026-01-31T03:09:05.801125
adult_shift,DIF,42,30162,5,4,0.0500,0.985648,0.654681,0.030000,2.012,2026-01-31T03:09:07.826045
