dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
thyroid,IF,42,3772,3,3,0.0247,0.949016,0.234126,0.340000,0.203,2026-01-31T10:54:22.180664
thyroid,IF_concat,42,3772,3,3,0.0247,0.970407,0.412381,0.470000,0.216,2026-01-31T10:54:22.403824
thyroid,DIF,42,3772,3,3,0.0247,0.959976,0.278312,0.370000,1.201,2026-01-31T10:54:23.611330
thyroid,DIF_concat,42,3772,3,3,0.0247,0.964091,0.445888,0.440000,1.266,2026-01-31T10:54:24.884673
thyroid,LOF,42,3772,3,3,0.0247,0.673421,0.075191,0.070000,0.107,2026-01-31T10:54:24.997872
thyroid,QCAD,42,3772,3,3,0.0247,0.633684,0.041123,0.060000,0.224,2026-01-31T10:54:25.227071
thyroid,ROCOD,42,3772,3,3,0.0247,0.572386,0.027804,0.000000,0.188,2026-01-31T10:54:25.422296
thyroid,PNKDIF,42,3772,3,3,0.0247,0.700918,0.051647,0.060000,1.440,2026-01-31T10:54:26.870058
thyroid,PNKDIF_uniform,42,3772,3,3,0.0247,0.699761,0.049150,0.070000,1.604,2026-01-31T10:54:28.480413
thyroid,PNKDIF_noMLP,42,3772,3,3,0.0247,0.660403,0.045992,0.080000,0.424,2026-01-31T10:54:28.911681
thyroid,PNKDIF_single,42,3772,3,3,0.0247,0.665463,0.042254,0.010000,0.459,2026-01-31T10:54:29.377836
thyroid,PNKDIF_global,42,3772,3,3,0.0247,0.958833,0.265659,0.350000,1.600,2026-01-31T10:54:30.987717
thyroid,IF,123,3772,3,3,0.0247,0.951100,0.242202,0.350000,0.247,2026-01-31T10:54:31.261444
thyroid,IF_concat,123,3772,3,3,0.0247,0.975414,0.538324,0.570000,0.246,2026-01-31T10:54:31.514633
thyroid,DIF,123,3772,3,3,0.0247,0.953310,0.232422,0.290000,1.522,2026-01-31T10:54:33.044024
thyroid,DIF_concat,123,3772,3,3,0.0247,0.951305,0.321234,0.330000,1.437,2026-01-31T10:54:34.488488
thyroid,LOF,123,3772,3,3,0.0247,0.673421,0.075191,0.070000,0.129,2026-01-31T10:54:34.624919
thyroid,QCAD,123,3772,3,3,0.0247,0.633684,0.041123,0.060000,0.350,2026-01-31T10:54:34.982007
thyroid,ROCOD,123,3772,3,3,0.0247,0.572386,0.027804,0.000000,0.239,2026-01-31T10:54:35.231111
thyroid,PNKDIF,123,3772,3,3,0.0247,0.684741,0.046932,0.020000,2.068,2026-01-31T10:54:37.307055
thyroid,PNKDIF_uniform,123,3772,3,3,0.0247,0.700915,0.050009,0.070000,1.640,2026-01-31T10:54:38.955161
thyroid,PNKDIF_noMLP,123,3772,3,3,0.0247,0.681152,0.046833,0.070000,0.379,2026-01-31T10:54:39.339967
thyroid,PNKDIF_single,123,3772,3,3,0.0247,0.690203,0.047854,0.030000,0.396,2026-01-31T10:54:39.743127
thyroid,PNKDIF_global,123,3772,3,3,0.0247,0.954783,0.243227,0.330000,1.256,2026-01-31T10:54:41.005184
thyroid,IF,456,3772,3,3,0.0247,0.959628,0.286963,0.380000,0.176,2026-01-31T10:54:41.201533
thyroid,IF_concat,456,3772,3,3,0.0247,0.973278,0.528566,0.540000,0.176,2026-01-31T10:54:41.383676
thyroid,DIF,456,3772,3,3,0.0247,0.954458,0.239621,0.290000,1.228,2026-01-31T10:54:42.619344
thyroid,DIF_concat,456,3772,3,3,0.0247,0.961774,0.407677,0.400000,1.262,2026-01-31T10:54:43.889309
thyroid,LOF,456,3772,3,3,0.0247,0.673421,0.075191,0.070000,0.116,2026-01-31T10:54:44.012869
thyroid,QCAD,456,3772,3,3,0.0247,0.633684,0.041123,0.060000,0.274,2026-01-31T10:54:44.293877
thyroid,ROCOD,456,3772,3,3,0.0247,0.572386,0.027804,0.000000,0.177,2026-01-31T10:54:44.478133
thyroid,PNKDIF,456,3772,3,3,0.0247,0.718995,0.056537,0.080000,1.563,2026-01-31T10:54:46.048473
thyroid,PNKDIF_uniform,456,3772,3,3,0.0247,0.708397,0.050759,0.070000,1.528,2026-01-31T10:54:47.583797
thyroid,PNKDIF_noMLP,456,3772,3,3,0.0247,0.643542,0.043834,0.070000,0.432,2026-01-31T10:54:48.023804
thyroid,PNKDIF_single,456,3772,3,3,0.0247,0.718405,0.055715,0.080000,0.426,2026-01-31T10:54:48.459673
thyroid,PNKDIF_global,456,3772,3,3,0.0247,0.956305,0.251079,0.330000,1.396,2026-01-31T10:54:49.864322
thyroid,IF,789,3772,3,3,0.0247,0.958322,0.293979,0.410000,0.215,2026-01-31T10:54:50.109482
thyroid,IF_concat,789,3772,3,3,0.0247,0.983107,0.644530,0.610000,0.212,2026-01-31T10:54:50.327738
thyroid,DIF,789,3772,3,3,0.0247,0.953593,0.228984,0.280000,1.348,2026-01-31T10:54:51.683477
thyroid,DIF_concat,789,3772,3,3,0.0247,0.955157,0.351563,0.330000,1.329,2026-01-31T10:54:53.019442
thyroid,LOF,789,3772,3,3,0.0247,0.673421,0.075191,0.070000,0.126,2026-01-31T10:54:53.152755
thyroid,QCAD,789,3772,3,3,0.0247,0.633684,0.041123,0.060000,0.289,2026-01-31T10:54:53.447685
thyroid,ROCOD,789,3772,3,3,0.0247,0.572386,0.027804,0.000000,0.186,2026-01-31T10:54:53.642421
thyroid,PNKDIF,789,3772,3,3,0.0247,0.703189,0.051140,0.080000,1.580,2026-01-31T10:54:55.231209
thyroid,PNKDIF_uniform,789,3772,3,3,0.0247,0.713591,0.052051,0.070000,1.566,2026-01-31T10:54:56.804278
thyroid,PNKDIF_noMLP,789,3772,3,3,0.0247,0.675124,0.047198,0.070000,0.383,2026-01-31T10:54:57.193975
thyroid,PNKDIF_single,789,3772,3,3,0.0247,0.720513,0.057888,0.090000,0.408,2026-01-31T10:54:57.609542
thyroid,PNKDIF_global,789,3772,3,3,0.0247,0.958585,0.257326,0.330000,1.464,2026-01-31T10:54:59.081472
thyroid,IF,1011,3772,3,3,0.0247,0.953681,0.241737,0.330000,0.233,2026-01-31T10:54:59.347119
thyroid,IF_concat,1011,3772,3,3,0.0247,0.977296,0.504056,0.510000,0.216,2026-01-31T10:54:59.571366
thyroid,DIF,1011,3772,3,3,0.0247,0.958790,0.264707,0.350000,1.359,2026-01-31T10:55:00.936664
thyroid,DIF_concat,1011,3772,3,3,0.0247,0.956837,0.376050,0.380000,1.598,2026-01-31T10:55:02.541689
thyroid,LOF,1011,3772,3,3,0.0247,0.673421,0.075191,0.070000,0.161,2026-01-31T10:55:02.711167
thyroid,QCAD,1011,3772,3,3,0.0247,0.633684,0.041123,0.060000,0.332,2026-01-31T10:55:03.050299
thyroid,ROCOD,1011,3772,3,3,0.0247,0.572386,0.027804,0.000000,0.218,2026-01-31T10:55:03.275755
thyroid,PNKDIF,1011,3772,3,3,0.0247,0.699878,0.050492,0.040000,1.754,2026-01-31T10:55:05.037175
thyroid,PNKDIF_uniform,1011,3772,3,3,0.0247,0.677682,0.043523,0.030000,1.797,2026-01-31T10:55:06.842730
thyroid,PNKDIF_noMLP,1011,3772,3,3,0.0247,0.656870,0.046977,0.090000,0.479,2026-01-31T10:55:07.330414
thyroid,PNKDIF_single,1011,3772,3,3,0.0247,0.719454,0.053585,0.050000,0.498,2026-01-31T10:55:07.837766
thyroid,PNKDIF_global,1011,3772,3,3,0.0247,0.954160,0.247752,0.330000,1.708,2026-01-31T10:55:09.553409
thyroid,IF,1213,3772,3,3,0.0247,0.950311,0.221528,0.290000,0.264,2026-01-31T10:55:09.843207
thyroid,IF_concat,1213,3772,3,3,0.0247,0.976683,0.501864,0.560000,0.268,2026-01-31T10:55:10.118133
thyroid,DIF,1213,3772,3,3,0.0247,0.951410,0.220710,0.270000,1.644,2026-01-31T10:55:11.769465
thyroid,DIF_concat,1213,3772,3,3,0.0247,0.947420,0.294449,0.290000,1.613,2026-01-31T10:55:13.390299
thyroid,LOF,1213,3772,3,3,0.0247,0.673421,0.075191,0.070000,0.160,2026-01-31T10:55:13.558519
thyroid,QCAD,1213,3772,3,3,0.0247,0.633684,0.041123,0.060000,0.356,2026-01-31T10:55:13.923394
thyroid,ROCOD,1213,3772,3,3,0.0247,0.572386,0.027804,0.000000,0.224,2026-01-31T10:55:14.155870
thyroid,PNKDIF,1213,3772,3,3,0.0247,0.708938,0.053902,0.080000,1.848,2026-01-31T10:55:16.011915
thyroid,PNKDIF_uniform,1213,3772,3,3,0.0247,0.695549,0.046969,0.050000,1.770,2026-01-31T10:55:17.789583
thyroid,PNKDIF_noMLP,1213,3772,3,3,0.0247,0.669724,0.045468,0.070000,0.489,2026-01-31T10:55:18.286242
thyroid,PNKDIF_single,1213,3772,3,3,0.0247,0.692262,0.052708,0.090000,0.510,2026-01-31T10:55:18.804451
thyroid,PNKDIF_global,1213,3772,3,3,0.0247,0.952263,0.229936,0.300000,1.670,2026-01-31T10:55:20.482945
thyroid,IF,1415,3772,3,3,0.0247,0.960691,0.264803,0.350000,0.271,2026-01-31T10:55:20.783280
thyroid,IF_concat,1415,3772,3,3,0.0247,0.976434,0.540691,0.570000,0.262,2026-01-31T10:55:21.053310
thyroid,DIF,1415,3772,3,3,0.0247,0.957144,0.250909,0.320000,1.610,2026-01-31T10:55:22.670869
thyroid,DIF_concat,1415,3772,3,3,0.0247,0.960695,0.384177,0.390000,1.616,2026-01-31T10:55:24.297840
thyroid,LOF,1415,3772,3,3,0.0247,0.673421,0.075191,0.070000,0.168,2026-01-31T10:55:24.473116
thyroid,QCAD,1415,3772,3,3,0.0247,0.633684,0.041123,0.060000,0.353,2026-01-31T10:55:24.833561
thyroid,ROCOD,1415,3772,3,3,0.0247,0.572386,0.027804,0.000000,0.222,2026-01-31T10:55:25.062791
thyroid,PNKDIF,1415,3772,3,3,0.0247,0.709485,0.052786,0.060000,1.823,2026-01-31T10:55:26.892780
thyroid,PNKDIF_uniform,1415,3772,3,3,0.0247,0.697846,0.048594,0.050000,1.854,2026-01-31T10:55:28.755392
thyroid,PNKDIF_noMLP,1415,3772,3,3,0.0247,0.669087,0.049507,0.100000,0.479,2026-01-31T10:55:29.241535
thyroid,PNKDIF_single,1415,3772,3,3,0.0247,0.708616,0.051207,0.060000,0.560,2026-01-31T10:55:29.808364
thyroid,PNKDIF_global,1415,3772,3,3,0.0247,0.953625,0.248163,0.350000,1.643,2026-01-31T10:55:31.459149
thyroid,IF,1617,3772,3,3,0.0247,0.950594,0.235647,0.340000,0.276,2026-01-31T10:55:31.764954
thyroid,IF_concat,1617,3772,3,3,0.0247,0.976949,0.555333,0.530000,0.269,2026-01-31T10:55:32.041463
thyroid,DIF,1617,3772,3,3,0.0247,0.952216,0.234603,0.310000,1.686,2026-01-31T10:55:33.735453
thyroid,DIF_concat,1617,3772,3,3,0.0247,0.960879,0.380983,0.400000,1.604,2026-01-31T10:55:35.348280
thyroid,LOF,1617,3772,3,3,0.0247,0.673421,0.075191,0.070000,0.162,2026-01-31T10:55:35.518912
