dataset,injection,rate,method,auroc
SAML-D,none,0.0,IF,0.9368714844314008
SAML-D,none,0.0,IF_concat,0.8960327429682609
SAML-D,none,0.0,ROCOD,0.41862900507063794
SAML-D,none,0.0,PNKIF,0.8690903287250791
SAML-D,geographic_swap,0.01,IF,0.7456268458374555
SAML-D,geographic_swap,0.01,IF_concat,0.6967778724771954
SAML-D,geographic_swap,0.01,ROCOD,0.5250853281653174
SAML-D,geographic_swap,0.01,PNKIF,0.7415171160814086
SAML-D,geographic_swap,0.03,IF,0.6132784126094253
SAML-D,geographic_swap,0.03,IF_concat,0.5589665722777314
SAML-D,geographic_swap,0.03,ROCOD,0.5913917703576586
SAML-D,geographic_swap,0.03,PNKIF,0.6639045679715794
SAML-D,geographic_swap,0.05,IF,0.5551372628551116
SAML-D,geographic_swap,0.05,IF_concat,0.4939912214867725
SAML-D,geographic_swap,0.05,ROCOD,0.6183719038165834
SAML-D,geographic_swap,0.05,PNKIF,0.6281570161207111
SAML-D,geographic_swap,0.1,IF,0.5001239487904929
SAML-D,geographic_swap,0.1,IF_concat,0.4256527532475693
SAML-D,geographic_swap,0.1,ROCOD,0.6573997665786458
SAML-D,geographic_swap,0.1,PNKIF,0.5963508897890841
SAML-D,velocity_anomaly,0.01,IF,0.9397240541317323
SAML-D,velocity_anomaly,0.01,IF_concat,0.8892668588415404
SAML-D,velocity_anomaly,0.01,ROCOD,0.5515913173835065
SAML-D,velocity_anomaly,0.01,PNKIF,0.9017404275803924
SAML-D,velocity_anomaly,0.03,IF,0.9507549362420427
SAML-D,velocity_anomaly,0.03,IF_concat,0.8969574264962292
SAML-D,velocity_anomaly,0.03,ROCOD,0.6490429700700349
SAML-D,velocity_anomaly,0.03,PNKIF,0.9333496618013598
SAML-D,velocity_anomaly,0.05,IF,0.9498595945875927
SAML-D,velocity_anomaly,0.05,IF_concat,0.8977306234879595
SAML-D,velocity_anomaly,0.05,ROCOD,0.6928572042647646
SAML-D,velocity_anomaly,0.05,PNKIF,0.9468542753169963
SAML-D,velocity_anomaly,0.1,IF,0.943591351249865
SAML-D,velocity_anomaly,0.1,IF_concat,0.8927648291965067
SAML-D,velocity_anomaly,0.1,ROCOD,0.7360523196022393
SAML-D,velocity_anomaly,0.1,PNKIF,0.9478315683153431
SAML-D,temporal_shift,0.01,IF,0.9542257694391353
SAML-D,temporal_shift,0.01,IF_concat,0.914372277206037
SAML-D,temporal_shift,0.01,ROCOD,0.5994955971986801
SAML-D,temporal_shift,0.01,PNKIF,0.9052818929152908
SAML-D,temporal_shift,0.03,IF,0.9740595974417424
SAML-D,temporal_shift,0.03,IF_concat,0.9387099207759834
SAML-D,temporal_shift,0.03,ROCOD,0.7282145139623564
SAML-D,temporal_shift,0.03,PNKIF,0.9476107156012633
SAML-D,temporal_shift,0.05,IF,0.9807053283001868
SAML-D,temporal_shift,0.05,IF_concat,0.9442747529362233
